Quantity,Name,Set,Foil,Condition,Language,SKU,Price,Lot
1,Spider Token,Theros Beyond Death,Normal,Lightly Played,English,4317083,0.18,0.0
2,Goblin Token,Modern Masters,Normal,Lightly Played,English,1162856,0.28,0.0
1,Illusion (005) // Marit Lage (006) Double-sided Token,Modern Horizons,Normal,Lightly Played,English,4088221,0.29,0.0
1,"Voja, Friend to Elves Token",War of the Spark,Normal,Near Mint,Japanese,4037550,0.23,0.0
2,Thopter Token (008),Kaladesh,Normal,Lightly Played,English,3203518,0.11,0.0
1,Soldier (004) // Emblem - Serra the Benevolent (020) Double-sided Token,Modern Horizons,Normal,Lightly Played,English,4087335,0.35,0.0
4,Gnome Token,Unstable,Foil,Lightly Played Foil,English,3546956,0.11,0.0
1,"Checklist Card - Core Set 2019 (Nicol Bolas, the Ravager)",Core Set 2019,Normal,Lightly Played,English,3771728,0.12,0.0
1,Island (338),8th Edition,Normal,Lightly Played,English,372935,0.23,0.0
1,Swamp (260),Return to Ravnica,Foil,Lightly Played Foil,English,1043149,0.27,0.0
1,Forest (270) - Full Art,Battle for Zendikar,Normal,Lightly Played,Japanese,2981739,0.5,0.0
1,Servo Token,War of the Spark,Normal,Near Mint,Japanese,4032050,0.2,0.0
1,Soldier Token,War of the Spark,Normal,Near Mint,Japanese,4032750,0.29,0.0
3,Gateway Plaza,War of the Spark,Normal,Near Mint,Japanese,4020125,0.39,0.0
2,Guild Globe,War of the Spark,Normal,Near Mint,Japanese,4021825,0.39,0.0
2,Jungle Delver,Ixalan,Normal,Lightly Played,English,3470411,0.03,0.0
3,Island (237),Theros,Normal,Lightly Played,English,1133052,0.12,0.0
1,Staff of the Flame Magus,Magic 2014 (M14),Normal,Lightly Played,English,1097785,0.1,17.0
1,Purge the Profane,Gatecrash,Foil,Lightly Played Foil,English,1069174,0.11,20.0
1,Forgotten Cave,Onslaught,Normal,Heavily Played,English,356380,0.14,20.0
1,Zombie Token,Core Set 2019,Normal,Lightly Played,English,3771188,0.14,20.0
2,Squall Drifter,Coldsnap,Normal,Lightly Played,English,375290,0.1,20.0
14,Sinstriker's Will,Guildpact,Normal,Lightly Played,English,374944,0.08,20.0
1,Scale Blessing,Dragons of Tarkir,Foil,Lightly Played Foil,English,2743035,0.21,20.0
1,Serra Angel,Magic 2013 (M13),Normal,Lightly Played,English,937398,0.1,20.0
1,Glass Casket,Throne of Eldraine,Normal,Lightly Played,English,4194620,0.14,20.0
1,So Tiny,Throne of Eldraine,Foil,Lightly Played Foil,English,4207299,0.1,20.0
1,Sapphire Drake,Gatecrash,Normal,Lightly Played,English,1068628,0.1,20.0
1,Stream of Consciousness,Ultimate Masters,Foil,Lightly Played Foil,English,3916463,0.18,20.0
1,Waning Wurm,Planar Chaos,Normal,Lightly Played,English,375887,0.14,20.0
1,Rakshasa Gravecaller,Dragons of Tarkir,Foil,Lightly Played Foil,English,2743565,0.45,20.0
1,Revenant,Magic Origins,Foil,Lightly Played Foil,English,2900442,0.13,20.0
1,Pharika's Cure,Theros,Foil,Lightly Played Foil,English,1134099,0.2,20.0
1,Covenant of Blood,Magic 2015 (M15),Foil,Lightly Played Foil,English,1226487,0.3,20.0
1,Pyromancer's Assault,Oath of the Gatewatch,Foil,Lightly Played Foil,English,3043096,0.12,20.0
